n,obras,autor,fecha,medio,tecnica,material,alto,ancho,fuente,descripcion,periodo,region,pais,camino,id,modelo,repositorio,procedencia,atributoCarguero,accionCarguero,atributoCargado,numeroCargueros,direccionMiradaCarguero,direccionMiradaCargado,direccionCargado,generoCargado,figura/fondo,genero,soporte,otros,src
21,Costumes / Colombie,Anónimo,1837,Grabado,Aguafuerte,papel,NI,NI,"L'Univers. Histoire et Description de tous les Peuples. Bresil par Ferdinand Denis & Colombie et Guyanes par Cesar Famin (Paris: Firmin Didot Frères Éditeurs, 1837)","Las láminas que sirvieron de modelo a la composición fueron identificadas por Beatriz González y Carolina Vanegas, 2017. Esta última afirma que la figura del carguero está basada en la lámina de Hamilton",1819 - 1850,Montañas andinas,Colombia,Quindío,13upkuh2IfWReGiJUU_yqOqR1tY7ThAFx,roulin,https://archive.org/details/lunivershistoir64unkngoog/page/n600/mode/2up?view=theater,Francia,baston,ascendiendo,sombrilla,1,abajo,frente,atras,masculino,figura,tipos humanos,libro,false,18.png
22,Le passage du Quindiu entre Ibague y Cartago,"Alcide d'Orbigny, Francois Desire Roulin (Dibj.)",1836,Grabado,Grabado en talla dulce sobre acero,papel,NI,NI,"Alcide D’Orbigny, Voyage pittoresque dans les deux Amériques (Chez L. Tenré, Libraire-éditeur)","El dibujo de Roulin del campamento en el camino de Quindío fue modificado y convertido en grabado en el libro de viajes de Alcide d’Orbigny Voyage Pittoresque dans les deux Amériques, un popular libro contribuyó de manera significativa a la difusión del conocimiento de la Nueva Granada. D’Orbigny, un especialista en moluscos, pertenecía al mismo círculo científico de Cuvier y Roulin. Así como este último, también fue acreditado como “discípulo” en la edición del Reino Animal de 1836. De hecho, su figura juega un papel fundamental en la investigación acerca de la determinación de las características raciales de los americanos para la clasificación del Reino Animal de Cuvier. En el texto la lámina del campamento del Quindío se titula Passage du Quindiu entre Ibagué & Cartago. Es invocada en el contexto en el que se está narrando el viaje desde Bogotá hasta Guayaquil. La narración de este tramo sigue de cerca la descripción hecha por Humboldt en Vues. La lámina es invocada expresamente (“Pt.X -3”) para aludir a los contaderos, que es el lugar en los “altos de las montañas” con fuente de agua próxima y comida para las “bestias” en donde se establece el campamento. Allí d’Orbigny vuelve sobre un tema tratado por Humboldt en su relato. Este es el del uso del Bijao  (Bichai, se lee en el relato), la hoja de una planta que está provista de un barniz que la hace “impermeable”, a la que, según he mencionado en varias ocasiones, se refirió Humboldt. Por su parte, la lámina muestra a diversas figuras llevando a cabo actividades en el campamento. A pesar de ser producto de un calco, la composición de la lámina de d’Orbigny, en comparación con el boceto de Roulin, muestra algunas diferencias. El plano del grabado usado por d’Orbigny es más abierto. Como si se quisiera mostrar una vista general, al contrario del plano más cerrado de Roulin que quiere detenerse en los detalles. Asimismo, hay cambios en algunas figuras. Por ejemplo, el sujeto que Combes confundió por Boussingault, que se encuentra en el borde derecho de la lámina, ya no tiene apariencia de un sujeto distinguido, sino más bien parece un campesino local. Tampoco se pueden apreciar los cargueros armando la tienda con las hojas de Bijao. También es de interés la lámina Minas de la Vega de Supía que representa el siguiente tramo en el recorrido del viajero ficticio de d’Orbigny. Aunque no se encuentra entre las acuarelas donadas en el 2003, esta lámina es muy probablemente hecha a partir de un dibujo de Roulin.",1819 - 1850,Montañas andinas,Colombia,Quindío,1E5wKMKPRChzBN3hG7yXDbWJyaCnkhPEF,roulin,https://archive.org/details/voyagepittoresque00orbirich/page/78/mode/2up,Francia,baston,recibiendo,sombrilla,2,frente,frente,atras,masculino,figura,tipos humanos,libro,false,19.png
23,El Tabillo: Maniére dont les voyageurs sont portés á dos d’homme dans les envirous de Pasto,A de Lattre. Original de Francois Desire Roulin,1848,Grabado,Grabado en madera,papel,NI,NI,"Le Magasin pittoresque, 16, 1848","Descripción del carguero en el Putumayo. Llama la atención que la técnica usada es diferente, la silla es más rudimentaria, y el pasajero mira hacia delante. Notar relación con la acuarela de Gutiérrez de Alba que refiere a un carguero en Caquetá, y con la del carguero de Ecuador de la expedición Malaspina. Parece ser una característica propia de los ejemplares del sur",1819 - 1850,Amazonía,Colombia,Putumayo,1Yl-H9ItX9UY_Gs-uuRNYPFRwVDklAETp,tablillo,https://gallica.bnf.fr/ark:/12148/bpt6k314316/f237.item,Francia,baston,caminando,sombrero,1,frente,frente,adelante,masculino,figura,tipos humanos,prensa,false,20.png
24,Passage d’un torrent,A de Lattre. Original de Francois Desire Roulin,1848,Grabado,Grabado en madera,papel,NI,NI,"Le Magasin pittoresque, 16, 1848","Este es un plano general de la imagen ""Tablillo, Maniére dont les voyageurs sont portés á dos d’homme dans les envirous de Pasto"". Mantiene esta peculiar disposición de la silla y de la carga. Fue reseñada en el libro ""Tarabitas y cabuyas: la representación del puente en el arte en Colombia durante el siglo XIX"" de Verónica Uribe Hanabergh. ",1819 - 1850,Amazonía,Colombia,Putumayo,1KIGRHbO4_wODRiro4Kyy8q_hmerkpEKS,tablillo,https://gallica.bnf.fr/ark:/12148/bpt6k314316/f240.item,Francia,baston,caminando,sombrero,1,frente,frente,adelante,masculino,fondo,vista,prensa,false,21.png
25,La silla: maniére de porter les voyageurs dans le Quindiu,A de Lattre. Original de Francois Desire Roulin,1848,Grabado,Grabado en madera,papel,NI,NI,"Le Magasin pittoresque, 16, 1848","Tomada del modelo de Roulin. Se usa para contrastar con el método de las tierras del sur, llamado Tablillo",1819 - 1850,Montañas andinas,Colombia,Quindío,1NjhVfODxOjvDmwFYxEd5eTcgaJTjR7OC,roulin,https://gallica.bnf.fr/ark:/12148/bpt6k314316/f237.item,Francia,baston,caminando,sombrilla,1,abajo,frente,atras,masculino,figura,tipos humanos,prensa,false,22.png
26,[Carguero],Cordech,1849,Grabado,Grabado en madera,papel,NI,NI,Semanario Pintoresco Español 12 (1849): 91,"En 1849 apareció la misma imagen del artículo de Magasin Pittoresque de A de Lattre, aunque atribuyéndole el crédito a otro dibujante y sin atribuciones al grabado, en una versión española de la revista francesa denominada el Semanario Pintoresco Español atribuido a 'un viajero'",1819 - 1850,Montañas andinas,Colombia,Quindío,1YRQofpESakGFimLHbQgEdAA3laGt-uGJ,roulin,https://books.google.com.cu/books?id=9JBEAAAAcAAJ&pg=PA89&hl=es&source=gbs_toc_r&cad=3#v=onepage&q&f=false,España,baston,caminando,sombrilla,1,abajo,frente,atras,masculino,figura,tipos humanos,prensa,false,25.png
27,Die Silla,AHC. Rose,1851,Grabado,Grabado en madera,papel,NI,NI,Das Pfennig-Magazin 19 (1851),"Otro ejemplar de la imagen del artículo de A de Lattre en Magasin Pittoresque puede encontrarse, con las mismas atribuciones al dibujante y al grabador, en la revista alemana Das Pfennig-Magazin, publicada en 1851. De acuerdo con un modelo de producción de impresos y de distribución y comercialización popularizado por The Penny Magazine -la directa competidora de The Saturday Magazine-, era habitual que entre estas revistas se compraran entre ellas los artículos y las planchas xilográficas para producir las imágenes y de esta manera llenar el contenido de las propias publicaciones. Estas revistas estaban orientadas a un público amplio y tenían un ánimo de instrucción y educación popular.",1851 - 1863,Montañas andinas,Colombia,Quindío,1eZfevujrRC_1NUM064rrygUKKiiV0HwW,roulin,https://pbc.gda.pl/dlibra/publication/79722/edition/72711?language=en,Alemania,baston,caminando,sombrilla,1,abajo,frente,atras,masculino,figura,tipos humanos,prensa,false,26.png
28,Cargueros,Anónimo,1846,Grabado,Grabado en madera,papel,NI,NI,"Humbolt's travels and discoveries in South America, (Londres: John W. Parker, 1846)","Esta edición no tienen un autor identificado y relata los viajes de Humboldt en tercera persona. Otmar Ette ha mostrado cómo muchos editores se aprovecharon de la fama del viaje de Humboldt y las expectativas del público de informarse de estos sin tener que esforzarse demasiado en asuntos técnicos. La obra parece seguir el itinerario de Relation historique. El resto del viaje es recosnrtruido con fragmentos de Vues y se despachan en un solo capítulo. La mayoría de las imágenes son copias de mala calidad de Vues. Algunas otras no son de las obras de Humboldt. El carguero aparece en la primera página debajo del título y en la página 253. Es tomado de la quinta lámina de Vues, pero no aparece en su totalidad, sino apenas un primer plano. Por su parte, el carguero que en la lámina de Humboldt no está cargando a nadie, en este caso si lleva carga. Es la misma imagen usada en el artículo de 1839 en The Saturday Magazine. Ambos productos fueron publicados por la misma editorial. Probablemente usaron la misma plancha para hacer el grabado",1819 - 1850,Montañas andinas,Colombia,Quindío,1Fop8yxaUJt1Benni73s8NJrLBj5BwHGD,humboldt,https://babel.hathitrust.org/cgi/pt?id=nc01.ark:/13960/t5fb69h1v&view=1up&seq=7,Inglaterra,baston,caminando,libro,3,espectador,frente,atras,femenino,figura,tipos humanos,libro,false,28.png
29,"Manisales, provincia de Córdova",Henry Price,1852,Pintura,Acuarela,papel,19,28,"Coleccion Acuarelas de la Comision Corografica. Biblioteca Nacional de Colombia, Bogotá.","El carguero de esta acuarela, al contrario del de la imagen Camino a Nóvita Barbacoas, tiene piel clara y barba, y lleva en sus espaldas a alguien que puede ser considerado su par. Para Appelbaum, la diferencia entre las dos láminas de los cargueros sintetiza la percepción tan distinta que la Comisión tenía de las “tierras bajas” de la costa pacífica con respecto a las “tierras altas” de las provincias andinas. Los habitantes de las tierras altas andinas, “algo toscos, pero en general laboriosos, estaban a la espera de mejores instituciones republicanas” (2017, 97). Por el contrario, los habitantes de la costa pacífica fueron rotulados de “negros” y eran considerados bárbaros que no merecían instituciones democráticas sino la aplicación de medidas coercitivas (Appelbaum 2017, 98).",1851 - 1863,Montañas andinas,Colombia,Antioquia,1grrevjtTncB43_CsVEhC8XUWLCruN_NR,corografica,https://bibliotecanacional.gov.co/es-co/colecciones/biblioteca-digital/Publicacion?nombre=L%C3%A1minas%20de%20la%20Comisi%C3%B3n%20Corogr%C3%A1fica,Colombia,baston,ascendiendo,sombrero,1,abajo,frente,atras,masculino,figura,tipos humanos,lamina,false,30.png
30,Camino a Nóvita en la montaña de Tamaná. Provincia del Chocó,Anónimo (erróneamente atribuido a Manuel María Paz),1853,Pintura,Acuarela,papel,24,32,"Coleccion Acuarelas de la Comision Corografica. Biblioteca Nacional de Colombia, Bogotá.","La lámina plantea un evidente contraste entre el estatus civilizado, subrayado por el libro abierto, la postura y el atuendo del viajero, y “lo bárbaro del carguero y su entorno” (Appelbaum 2017, 95). Es una ilustración de un pasaje relatado en los viajez de Santiago Pérez, por aquel entonces relator de la Comisión corográfica, publicados en El Neogranadino. La imagen fue compuesta por un autor anónimo -probablemente León Ambrose Gauthier- a partir de un boceto de Manuel María Paz y del relato de Santiago Pérez",1851 - 1863,Montañas andinas,Colombia,Chocó,1et80yAXDJXQb6W8AJON7QC7nm25nhdMf,corografica,https://bibliotecanacional.gov.co/es-co/colecciones/biblioteca-digital/Publicacion?nombre=L%C3%A1minas%20de%20la%20Comisi%C3%B3n%20Corogr%C3%A1fica,Colombia,baston,cruzando,libro,2,abajo,frente,atras,masculino,figura,tipos humanos,lamina,false,29.png
31,Cargueros en la montaña de Nóvita. Provincia del Chocó,Manuel María Paz,1853,Pintura,Acuarela,papel,NI,NI,"Coleccion Acuarelas de la Comision Corografica. Biblioteca Nacional de Colombia, Bogotá.",Esta imagen escenifica la tan aludida descripción de la construcción del campamento por parte de los cargueros. Se puede ver erigiéndose la tienda y a uno de ellos sosteniendo una hoja de bijao. Mientras tanto otro carguero agachado acondiciona su silla. Esta escena es descrita por Santiago Pérez en sus viajes.,1851 - 1863,Montañas andinas,Colombia,Chocó,1lAX2CW8W9XqNuPdPienTRpDOjDWcPgo_,corografica,"https://www.loc.gov/resource/gdcwdl.wdl_09065/?r=0.813,0.642,0.375,0.228,0",Colombia,bijao,construyendo,NA,3,frente,NA,NA,NA,figura,tipos humanos,lamina,false,92.jpg
32,Cargueros en la montaña de Barbacoas: Provincia de Barbacoas,Manuel María Paz,1853,Pintura,Acuarela,papel,NI,NI,"Coleccion Acuarelas de la Comision Corografica. Biblioteca Nacional de Colombia, Bogotá.",,1851 - 1863,Montañas andinas,Colombia,Barbacoas,1l5l4OpsvNdPwihhKBqBCHpireJeNZNmJ,corografica,https://www.loc.gov/item/2021670042/,Colombia,baston,ascendiendo,NA,2,frente,NA,NA,NA,figura,tipos humanos,lamina,false,91.jpg
33,Antiguo modo de viajar por la montaña del Quindío,Ramón Torres Méndez,1851,Grabado,Xilografía,papel,NI,NI,"El Pasatiempo [Bogotá] dic. 20, 1851.","El Pasatiempo, El Neogranadino y la colección de láminas Costumbres neogranadinas son proyectos editoriales que están relacionados con un mismo taller de imprenta (promovido por Manuel Ancízar). Este se caracterizó por una transformación de la concepción sobre la  periódica que contempla la necesidad de expandir la conformación de un público mediante innovaciones tecnológicas, procesos de racionalización de la producción y estrategias de difusión. Siguieron los pasos de Émile de Girardin, un periodista francés que había seguido el ejemplo del Magasin Pittoresque de Édouard Charton. En octubre de 1851, por ejemplo, se anunció la publicación de una serie de láminas iluminadas” que pretendían promocionar suscripciones a los periódicos de la imprenta.  A partir del 8 de noviembre de 1851, aparecieron cada semana en el periódico descripciones detalladas de las láminas, acompañadas de xilografías que representaban detalles de las originales",1851 - 1863,Montañas andinas,Colombia,Quindío,15Hz1cGEqjxY3udZ6HLjAQNzKwJgskDcE,torres,https://catalogoenlinea.bibliotecanacional.gov.co/client/es_ES/search/asset/122984,Colombia,baston,caminando,sombrero,1,abajo,frente,atras,masculino,figura,tipos humanos,prensa,false,31.png
